Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;CE;SOBRAL;POSTO SAO PEDRO LTDA; 69.709.020/0001-32;AVENIDA SENADOR JOSE ERMIRIO DE MORAES;1065;;DOM JOSE;62015-505;GASOLINA;04/07/2017;3,799;3,4169;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;POSTO SAO PEDRO LTDA; 69.709.020/0001-32;AVENIDA SENADOR JOSE ERMIRIO DE MORAES;1065;;DOM JOSE;62015-505;ETANOL;04/07/2017;3,17;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;POSTO SAO PEDRO LTDA; 69.709.020/0001-32;AVENIDA SENADOR JOSE ERMIRIO DE MORAES;1065;;DOM JOSE;62015-505;DIESEL;04/07/2017;3,07;2,6588;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;POSTO SAO PEDRO LTDA; 69.709.020/0001-32;AVENIDA SENADOR JOSE ERMIRIO DE MORAES;1065;;DOM JOSE;62015-505;DIESEL S10;04/07/2017;3,099;2,787;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;POSTO SAO DOMINGOS LTDA; 69.366.128/0001-70;AVENIDA DOUTOR GUARANY;854;;DERBY CLUB;62040-730;GASOLINA;04/07/2017;3,79;3,3476;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO SAO DOMINGOS LTDA; 69.366.128/0001-70;AVENIDA DOUTOR GUARANY;854;;DERBY CLUB;62040-730;ETANOL;04/07/2017;3,199;2,797;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO SAO DOMINGOS LTDA; 69.366.128/0001-70;AVENIDA DOUTOR GUARANY;854;;DERBY CLUB;62040-730;DIESEL;04/07/2017;3,07;2,664;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO SAO DOMINGOS LTDA; 69.366.128/0001-70;AVENIDA DOUTOR GUARANY;854;;DERBY CLUB;62040-730;DIESEL S10;04/07/2017;3,149;2,8139;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO BRASIL LTDA; 06.560.585/0001-80;RODOVIA BR 222;S/N;KM 221;APRAZÍVEL;62000-000;ETANOL;04/07/2017;3,25;;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO BRASIL LTDA; 06.560.585/0001-80;RODOVIA BR 222;S/N;KM 221;APRAZÍVEL;62000-000;DIESEL;04/07/2017;3,05;;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO BRASIL LTDA; 06.560.585/0001-80;RODOVIA BR 222;S/N;KM 221;APRAZÍVEL;62000-000;DIESEL S10;04/07/2017;3,15;;R$ / litro;RAIZEN
